PluginVendor,PluginName,PluginOutput,PluginKey,FeatureType,FeatureShapeX,FeatureShapeY,FeatureShapeZ,FeatureShape,FeatureSizeBytes
bbc-vamp-plugins,bbc-energy,average,bbc-vamp-plugins:bbc-energy:average,constant_step,104,1,0,104x1x0,968
bbc-vamp-plugins,bbc-energy,lowenergy,bbc-vamp-plugins:bbc-energy:lowenergy,variable_step,1,1,0,1x1x0,960
bbc-vamp-plugins,bbc-energy,pdip,bbc-vamp-plugins:bbc-energy:pdip,constant_step,104,1,0,104x1x0,968
bbc-vamp-plugins,bbc-energy,rmsdelta,bbc-vamp-plugins:bbc-energy:rmsdelta,constant_step,104,1,0,104x1x0,968
bbc-vamp-plugins,bbc-energy,rmsenergy,bbc-vamp-plugins:bbc-energy:rmsenergy,constant_step,104,1,0,104x1x0,968
bbc-vamp-plugins,bbc-intensity,intensity,bbc-vamp-plugins:bbc-intensity:intensity,constant_step,104,1,0,104x1x0,968
bbc-vamp-plugins,bbc-intensity,intensity-ratio,bbc-vamp-plugins:bbc-intensity:intensity-ratio,constant_step,104,7,1,104x7x1,3480
bbc-vamp-plugins,bbc-peaks,peaks,bbc-vamp-plugins:bbc-peaks:peaks,constant_step,414,1,0,414x1x0,2208
bbc-vamp-plugins,bbc-rhythm,autocor,bbc-vamp-plugins:bbc-rhythm:autocor,variable_step,827,1,0,827x1x0,252416
bbc-vamp-plugins,bbc-rhythm,average,bbc-vamp-plugins:bbc-rhythm:average,variable_step,414,1,0,414x1x0,126872
bbc-vamp-plugins,bbc-rhythm,avg-onset-freq,bbc-vamp-plugins:bbc-rhythm:avg-onset-freq,variable_step,1,1,0,1x1x0,960
bbc-vamp-plugins,bbc-rhythm,diff,bbc-vamp-plugins:bbc-rhythm:diff,variable_step,414,1,0,414x1x0,126872
bbc-vamp-plugins,bbc-rhythm,mean-correlation-peak,bbc-vamp-plugins:bbc-rhythm:mean-correlation-peak,variable_step,1,1,0,1x1x0,960
bbc-vamp-plugins,bbc-rhythm,onset,bbc-vamp-plugins:bbc-rhythm:onset,variable_step,4,0,0,4x0x0,1432
bbc-vamp-plugins,bbc-rhythm,onset_curve,bbc-vamp-plugins:bbc-rhythm:onset_curve,variable_step,414,1,0,414x1x0,126872
bbc-vamp-plugins,bbc-rhythm,peak-valley-ratio,bbc-vamp-plugins:bbc-rhythm:peak-valley-ratio,variable_step,1,1,0,1x1x0,960
bbc-vamp-plugins,bbc-rhythm,rhythm-strength,bbc-vamp-plugins:bbc-rhythm:rhythm-strength,variable_step,1,1,0,1x1x0,960
bbc-vamp-plugins,bbc-rhythm,tempo,bbc-vamp-plugins:bbc-rhythm:tempo,variable_step,1,1,0,1x1x0,960
bbc-vamp-plugins,bbc-spectral-contrast,mean,bbc-vamp-plugins:bbc-spectral-contrast:mean,constant_step,207,7,1,207x7x1,6368
bbc-vamp-plugins,bbc-spectral-contrast,peaks,bbc-vamp-plugins:bbc-spectral-contrast:peaks,constant_step,207,7,1,207x7x1,6368
bbc-vamp-plugins,bbc-spectral-contrast,valleys,bbc-vamp-plugins:bbc-spectral-contrast:valleys,constant_step,207,7,1,207x7x1,6368
bbc-vamp-plugins,bbc-spectral-flux,spectral-flux,bbc-vamp-plugins:bbc-spectral-flux:spectral-flux,constant_step,104,1,0,104x1x0,968
bbc-vamp-plugins,bbc-speechmusic-segmenter,segmentation,bbc-vamp-plugins:bbc-speechmusic-segmenter:segmentation,variable_step,0,0,0,0x0x0,440
bbc-vamp-plugins,bbc-speechmusic-segmenter,skewness,bbc-vamp-plugins:bbc-speechmusic-segmenter:skewness,variable_step,103,1,0,103x1x0,31968
beatroot-vamp,beatroot,beats,beatroot-vamp:beatroot:beats,variable_step,4,0,0,4x0x0,1432
cqvamp,cqchromavamp,chromagram,cqvamp:cqchromavamp:chromagram,constant_step,832,36,1,832x36x1,120376
cqvamp,cqvampmidi,constantq,cqvamp:cqvampmidi:constantq,constant_step,402,180,1,402x180x1,290008
match-vamp-plugin,match,a_b,match-vamp-plugin:match:a_b,variable_step,118,1,0,118x1x0,36568
match-vamp-plugin,match,a_b_divergence,match-vamp-plugin:match:a_b_divergence,variable_step,118,1,0,118x1x0,36568
match-vamp-plugin,match,a_b_temporatio,match-vamp-plugin:match:a_b_temporatio,variable_step,117,1,0,117x1x0,36272
match-vamp-plugin,match,a_cfeatures,match-vamp-plugin:match:a_cfeatures,constant_step,121,84,1,121x84x1,41224
match-vamp-plugin,match,a_features,match-vamp-plugin:match:a_features,constant_step,121,84,1,121x84x1,41224
match-vamp-plugin,match,b_a,match-vamp-plugin:match:b_a,variable_step,118,1,0,118x1x0,36568
match-vamp-plugin,match,b_cfeatures,match-vamp-plugin:match:b_cfeatures,constant_step,121,84,1,121x84x1,41224
match-vamp-plugin,match,b_features,match-vamp-plugin:match:b_features,constant_step,121,84,1,121x84x1,41224
match-vamp-plugin,match,overall_cost,match-vamp-plugin:match:overall_cost,constant_step,1,1,0,1x1x0,560
match-vamp-plugin,match,path,match-vamp-plugin:match:path,variable_step,118,1,0,118x1x0,36568
match-vamp-plugin-2,match,a_b,match-vamp-plugin-2:match:a_b,variable_step,118,1,0,118x1x0,36568
match-vamp-plugin-2,match,a_b_divergence,match-vamp-plugin-2:match:a_b_divergence,variable_step,118,1,0,118x1x0,36568
match-vamp-plugin-2,match,a_b_temporatio,match-vamp-plugin-2:match:a_b_temporatio,variable_step,117,1,0,117x1x0,36272
match-vamp-plugin-2,match,a_cfeatures,match-vamp-plugin-2:match:a_cfeatures,constant_step,121,84,1,121x84x1,41224
match-vamp-plugin-2,match,a_features,match-vamp-plugin-2:match:a_features,constant_step,121,84,1,121x84x1,41224
match-vamp-plugin-2,match,b_a,match-vamp-plugin-2:match:b_a,variable_step,118,1,0,118x1x0,36568
match-vamp-plugin-2,match,b_cfeatures,match-vamp-plugin-2:match:b_cfeatures,constant_step,121,84,1,121x84x1,41224
match-vamp-plugin-2,match,b_features,match-vamp-plugin-2:match:b_features,constant_step,121,84,1,121x84x1,41224
match-vamp-plugin-2,match,overall_cost,match-vamp-plugin-2:match:overall_cost,constant_step,1,1,0,1x1x0,560
match-vamp-plugin-2,match,path,match-vamp-plugin-2:match:path,variable_step,118,1,0,118x1x0,36568
mtg-melodia,melodia,melody,mtg-melodia:melodia:melody,constant_step,828,1,0,828x1x0,3864
mtg-melodia,melodiaviz,contoursall,mtg-melodia:melodiaviz:contoursall,constant_step,828,600,1,828x600x1,1987768
mtg-melodia,melodiaviz,contoursmelody,mtg-melodia:melodiaviz:contoursmelody,constant_step,828,600,1,828x600x1,1987768
mtg-melodia,melodiaviz,saliencefunction,mtg-melodia:melodiaviz:saliencefunction,constant_step,828,600,1,828x600x1,1987768
nnls-chroma,chordino,chordnotes,nnls-chroma:chordino:chordnotes,variable_step,0,0,0,0x0x0,440
nnls-chroma,chordino,harmonicchange,nnls-chroma:chordino:harmonicchange,constant_step,52,1,0,52x1x0,760
nnls-chroma,chordino,loglikelihood,nnls-chroma:chordino:loglikelihood,constant_step,52,1,0,52x1x0,760
nnls-chroma,chordino,simplechord,nnls-chroma:chordino:simplechord,variable_step,2,0,0,2x0x0,1104
nnls-chroma,nnls-chroma,basschroma,nnls-chroma:nnls-chroma:basschroma,constant_step,52,12,1,52x12x1,3064
nnls-chroma,nnls-chroma,bothchroma,nnls-chroma:nnls-chroma:bothchroma,constant_step,52,24,1,52x24x1,5560
nnls-chroma,nnls-chroma,chroma,nnls-chroma:nnls-chroma:chroma,constant_step,52,12,1,52x12x1,3064
nnls-chroma,nnls-chroma,logfreqspec,nnls-chroma:nnls-chroma:logfreqspec,constant_step,52,256,1,52x256x1,53816
nnls-chroma,nnls-chroma,semitonespectrum,nnls-chroma:nnls-chroma:semitonespectrum,constant_step,52,84,1,52x84x1,18040
nnls-chroma,nnls-chroma,tunedlogfreqspec,nnls-chroma:nnls-chroma:tunedlogfreqspec,constant_step,52,256,1,52x256x1,53816
nnls-chroma,tuning,localtuning,nnls-chroma:tuning:localtuning,constant_step,13,1,0,13x1x0,608
nnls-chroma,tuning,tuning,nnls-chroma:tuning:tuning,variable_step,1,1,0,1x1x0,1008
